sen_measurement2,sen_measurement3,sen_measurement4,sen_measurement8,sen_measurement9,sen_measurement11,sen_measurement13,sen_measurement17,RUL
641.86,1583.99,1399.91,2388.01,9065.14,47.22,2388.01,393,185
642.22,1587.16,1396.3,2388.0,9064.8,47.19,2387.98,393,184
642.85,1586.17,1400.01,2387.98,9068.07,47.15,2388.02,392,183
642.02,1581.99,1399.58,2388.0,9070.8,47.29,2388.08,391,182
642.86,1578.35,1400.19,2388.01,9074.23,47.22,2388.09,391,181
642.03,1583.5,1400.42,2388.02,9070.53,47.08,2388.03,391,180
641.53,1586.62,1393.1,2388.01,9067.76,47.22,2387.98,393,179
642.13,1581.98,1402.49,2388.02,9070.82,47.02,2388.06,394,178
642.55,1587.08,1402.42,2388.02,9064.56,47.19,2388.05,393,177
641.85,1587.23,1401.86,2388.01,9063.6,47.25,2388.04,393,176
641.94,1585.55,1398.99,2388.03,9066.72,47.27,2388.07,390,175
642.57,1587.23,1399.21,2388.02,9070.36,47.43,2388.04,395,174
642.07,1590.38,1403.18,2388.02,9065.76,47.34,2387.96,393,173
642.27,1584.76,1399.41,2388.05,9066.48,47.46,2388.05,392,172
641.46,1587.88,1396.91,2387.99,9067.25,47.23,2388.01,392,171
642.67,1593.73,1406.77,2388.06,9069.17,47.18,2388.02,392,170
642.33,1581.98,1398.82,2388.03,9077.2,47.34,2387.99,392,169
642.58,1592.53,1406.11,2388.02,9063.78,47.37,2388.05,394,168
641.88,1587.25,1398.36,2388.0,9076.64,47.32,2387.98,393,167
642.59,1581.57,1403.57,2388.05,9074.6,47.43,2388.0,392,166
642.7,1585.22,1394.97,2387.97,9071.37,47.09,2388.02,392,165
642.8,1577.32,1406.0,2388.02,9067.45,47.31,2388.02,392,164
642.12,1587.08,1398.42,2388.04,9066.45,47.36,2388.05,393,163
642.22,1584.55,1388.13,2388.07,9066.66,47.45,2388.05,392,162
642.17,1583.35,1402.22,2388.1,9069.55,47.34,2388.02,393,161
642.83,1584.77,1402.31,2388.04,9070.04,47.22,2388.08,393,160
642.11,1582.26,1402.79,2388.01,9065.77,47.52,2387.99,392,159
642.62,1586.4,1400.24,2388.01,9074.03,47.21,2388.01,391,158
642.22,1588.28,1397.95,2387.99,9069.34,47.25,2388.04,392,157
642.34,1591.43,1406.51,2388.05,9067.41,47.33,2388.04,391,156
643.15,1586.31,1411.1,2388.04,9070.45,47.26,2388.05,393,155
642.55,1587.12,1395.09,2388.01,9063.92,47.38,2388.09,391,154
641.93,1590.93,1401.75,2388.05,9068.46,47.28,2388.02,394,153
642.38,1588.34,1399.31,2388.08,9065.94,47.22,2388.03,393,152
642.56,1590.93,1405.54,2388.02,9070.22,47.14,2388.0,392,151
642.37,1585.91,1397.9,2388.05,9076.76,47.25,2387.99,392,150
642.12,1591.36,1400.32,2387.99,9070.15,47.32,2388.04,393,149
642.06,1587.4,1404.63,2387.98,9073.24,47.19,2388.01,392,148
641.88,1589.21,1401.82,2388.08,9066.34,47.15,2388.02,393,147
642.44,1590.94,1395.41,2388.04,9070.28,47.4,2388.06,392,146
642.79,1585.1,1395.27,2388.06,9072.94,47.25,2388.0,393,145
642.25,1580.37,1398.26,2388.02,9062.33,47.39,2388.07,393,144
642.39,1581.54,1398.96,2387.98,9074.77,47.39,2388.02,393,143
642.77,1581.85,1407.21,2388.05,9067.42,47.26,2388.04,391,142
642.38,1590.7,1407.58,2388.05,9070.1,47.12,2388.07,392,141
641.92,1583.7,1398.14,2388.03,9074.14,47.38,2388.02,391,140
642.02,1581.83,1400.56,2388.06,9070.68,47.32,2388.03,393,139
642.0,1592.55,1403.78,2388.03,9070.67,47.46,2388.09,392,138
642.68,1583.31,1399.1,2388.04,9071.18,47.35,2388.04,392,137
642.72,1578.55,1405.78,2388.05,9059.14,47.29,2388.06,392,136
642.17,1583.66,1406.43,2388.07,9072.01,47.3,2387.98,393,135
642.19,1583.56,1399.43,2387.99,9074.78,47.21,2388.08,393,134
642.26,1595.19,1404.39,2388.05,9070.17,47.1,2388.07,391,133
641.81,1582.25,1395.27,2388.0,9074.2,47.17,2388.0,392,132
642.35,1591.2,1411.85,2388.08,9070.85,47.34,2388.05,393,131
641.84,1582.27,1404.35,2388.06,9074.18,47.37,2388.0,392,130
641.77,1581.08,1397.31,2388.07,9068.57,47.33,2388.01,393,129
642.25,1589.4,1405.04,2388.05,9068.18,47.36,2388.04,392,128
642.97,1585.96,1401.33,2388.08,9072.78,47.33,2388.06,392,127
642.46,1590.51,1399.09,2388.01,9067.29,47.45,2388.03,393,126
642.05,1589.92,1411.38,2388.02,9076.24,47.31,2388.03,392,125
642.95,1588.93,1403.46,2388.02,9076.78,47.37,2388.03,392,124
642.57,1594.07,1393.69,2388.03,9076.89,47.15,2388.03,392,123
642.62,1587.92,1402.91,2388.07,9070.17,47.45,2388.05,392,122
642.22,1579.91,1402.44,2388.04,9077.92,47.38,2387.98,393,121
642.71,1583.7,1405.36,2388.07,9063.29,47.5,2388.03,394,120
642.37,1586.7,1408.26,2388.05,9065.56,47.4,2388.01,393,119
642.54,1588.67,1397.95,2388.07,9062.91,47.46,2388.1,393,118
642.48,1581.89,1402.66,2388.02,9064.41,47.35,2388.1,393,117
642.5,1590.96,1407.99,2388.06,9059.11,47.28,2388.01,394,116
642.01,1588.74,1406.16,2388.09,9074.62,47.62,2388.01,393,115
643.07,1583.36,1408.15,2388.0,9076.42,47.51,2387.99,394,114
642.43,1582.73,1410.11,2388.09,9073.48,47.41,2388.11,391,113
643.09,1597.53,1402.72,2388.04,9071.38,47.32,2388.01,393,112
642.43,1583.8,1401.2,2388.05,9071.09,47.45,2388.04,393,111
642.74,1585.97,1405.27,2388.04,9075.79,47.25,2388.02,394,110
642.27,1589.89,1409.08,2388.04,9072.24,47.28,2388.05,393,109
642.36,1596.85,1404.4,2388.09,9069.0,47.4,2388.05,392,108
642.48,1586.24,1403.1,2388.09,9071.91,47.33,2388.05,392,107
642.81,1587.78,1403.82,2388.04,9072.99,47.75,2388.0,393,106
642.42,1593.24,1398.66,2388.12,9073.14,47.34,2388.07,392,105
643.09,1585.47,1408.35,2388.03,9072.01,47.48,2388.04,395,104
642.55,1591.67,1411.96,2388.03,9067.73,47.46,2388.02,392,103
642.57,1587.47,1406.08,2388.02,9069.25,47.45,2388.05,394,102
641.98,1595.03,1406.49,2388.05,9068.65,47.32,2388.09,393,101
642.64,1592.32,1410.8,2388.04,9072.28,47.49,2388.04,393,100
642.36,1594.79,1414.46,2388.07,9072.47,47.52,2388.03,393,99
642.4,1587.14,1406.38,2388.08,9075.4,47.45,2388.04,393,98
642.68,1587.65,1405.36,2388.08,9064.41,47.44,2388.08,394,97
642.68,1590.42,1409.85,2388.14,9071.37,47.38,2388.09,393,96
642.64,1584.91,1409.31,2388.14,9073.66,47.54,2388.09,393,95
642.17,1586.09,1404.79,2388.06,9073.78,47.3,2388.03,393,94
642.41,1594.39,1409.85,2388.04,9062.81,47.52,2388.0,392,93
642.68,1586.71,1419.8,2388.11,9073.73,47.48,2388.12,393,92
642.34,1586.61,1405.22,2388.03,9073.73,47.33,2388.06,392,91
642.6,1593.15,1411.62,2388.08,9067.51,47.71,2388.13,392,90
642.6,1594.35,1407.91,2388.09,9071.14,47.4,2388.07,394,89
642.41,1587.93,1402.66,2388.09,9072.04,47.52,2388.02,394,88
642.59,1597.51,1412.58,2388.07,9071.68,47.5,2388.05,392,87
642.38,1596.02,1403.04,2388.07,9075.66,47.51,2388.04,393,86
642.16,1597.85,1405.84,2388.13,9068.46,47.65,2388.04,394,85
642.52,1581.68,1406.86,2388.06,9078.71,47.63,2388.1,391,84
641.97,1587.37,1409.46,2388.12,9069.58,47.4,2388.08,391,83
642.49,1599.09,1404.38,2388.07,9067.53,47.35,2388.08,393,82
643.04,1588.24,1401.65,2388.07,9070.75,47.42,2388.02,394,81
642.97,1583.04,1407.17,2388.1,9071.07,47.66,2388.1,395,80
643.07,1587.34,1406.28,2388.11,9070.81,47.51,2388.08,394,79
642.31,1591.29,1399.5,2388.12,9063.79,47.67,2388.12,393,78
642.37,1593.2,1414.3,2388.1,9066.02,47.52,2388.09,394,77
641.84,1588.43,1412.8,2388.05,9070.23,47.53,2388.1,392,76
642.5,1590.76,1409.58,2388.09,9072.91,47.44,2388.1,393,75
642.72,1584.57,1397.71,2388.09,9077.44,47.79,2388.06,392,74
642.45,1590.89,1410.57,2388.07,9077.07,47.74,2388.06,393,73
643.16,1591.08,1409.22,2388.08,9072.77,47.56,2388.1,394,72
643.48,1588.55,1410.73,2388.1,9072.27,47.64,2388.11,393,71
642.26,1592.56,1401.97,2388.08,9070.68,47.7,2388.08,394,70
643.11,1590.18,1405.06,2388.09,9074.38,47.55,2388.07,393,69
642.47,1581.9,1414.49,2388.12,9078.82,47.56,2388.14,392,68
642.53,1593.75,1411.18,2388.1,9077.27,47.72,2388.09,393,67
642.71,1590.06,1418.82,2388.07,9072.88,47.73,2388.11,394,66
642.38,1587.37,1405.45,2388.05,9081.85,47.65,2388.06,394,65
643.02,1591.26,1418.18,2388.13,9075.12,47.44,2388.11,394,64
642.58,1591.47,1408.16,2388.08,9071.12,47.64,2388.08,393,63
642.77,1591.11,1410.21,2388.13,9076.25,47.8,2388.04,393,62
642.52,1589.14,1410.7,2388.09,9068.53,47.45,2388.16,395,61
642.26,1598.09,1419.18,2388.07,9071.63,47.79,2388.11,395,60
642.92,1595.46,1414.78,2388.11,9069.67,47.56,2388.11,394,59
642.47,1591.02,1409.76,2388.11,9060.86,47.63,2388.08,394,58
642.58,1595.01,1411.84,2388.09,9077.04,47.67,2388.13,394,57
642.66,1596.82,1419.02,2388.09,9073.55,47.63,2388.11,393,56
643.02,1594.44,1414.04,2388.13,9066.87,47.51,2388.1,395,55
643.04,1602.53,1414.02,2388.11,9072.43,47.52,2388.08,394,54
643.1,1593.55,1409.19,2388.14,9074.96,47.69,2388.14,393,53
643.16,1594.88,1414.03,2388.1,9073.23,47.82,2388.13,396,52
642.89,1587.78,1417.01,2388.13,9069.99,47.74,2388.13,393,51
643.23,1599.57,1415.25,2388.13,9076.42,47.58,2388.11,393,50
642.7,1597.98,1407.91,2388.14,9070.05,47.61,2388.15,395,49
642.45,1593.28,1413.75,2388.12,9068.26,47.71,2388.14,394,48
642.95,1595.89,1421.28,2388.12,9076.18,47.63,2388.16,394,47
643.2,1590.77,1415.33,2388.09,9075.94,47.69,2388.12,394,46
642.71,1598.86,1413.36,2388.09,9069.98,47.6,2388.17,395,45
643.05,1591.56,1418.03,2388.15,9074.71,47.6,2388.14,395,44
643.36,1590.83,1416.89,2388.1,9075.52,47.65,2388.14,396,43
642.92,1598.95,1412.52,2388.16,9073.66,47.78,2388.19,393,42
642.91,1597.05,1408.18,2388.13,9075.65,47.72,2388.14,394,41
642.84,1596.34,1417.91,2388.21,9065.09,47.73,2388.18,394,40
642.77,1594.18,1419.8,2388.19,9073.26,47.7,2388.11,395,39
643.35,1594.38,1423.21,2388.17,9072.47,47.8,2388.08,395,38
643.02,1595.46,1423.88,2388.17,9073.89,47.81,2388.13,394,37
643.09,1598.9,1411.04,2388.1,9080.02,48.02,2388.18,396,36
643.45,1596.51,1416.97,2388.12,9080.56,47.69,2388.16,396,35
643.71,1599.72,1416.7,2388.17,9074.01,47.66,2388.19,395,34
643.17,1605.25,1423.92,2388.13,9079.99,47.78,2388.2,394,33
643.04,1593.13,1416.51,2388.16,9070.95,47.82,2388.18,395,32
643.6,1597.56,1424.84,2388.15,9074.59,47.75,2388.16,393,31
643.67,1591.32,1418.78,2388.15,9077.69,47.96,2388.19,395,30
643.2,1593.43,1414.07,2388.17,9076.36,47.87,2388.21,393,29
643.02,1599.01,1426.55,2388.13,9076.25,47.8,2388.13,396,28
643.44,1595.92,1422.4,2388.16,9078.32,47.81,2388.13,393,27
643.46,1596.97,1422.57,2388.2,9079.39,48.0,2388.14,396,26
643.37,1597.61,1418.06,2388.14,9077.3,47.83,2388.15,395,25
643.15,1599.13,1423.33,2388.12,9072.31,47.75,2388.2,394,24
642.87,1593.39,1423.52,2388.18,9077.79,47.85,2388.18,394,23
643.49,1597.7,1426.99,2388.2,9066.79,47.93,2388.18,395,22
643.25,1589.98,1422.21,2388.22,9073.77,47.79,2388.2,395,21
643.29,1595.82,1423.51,2388.19,9082.15,47.98,2388.17,395,20
643.14,1601.07,1427.37,2388.19,9083.12,48.06,2388.22,396,19
643.38,1592.75,1421.28,2388.2,9067.2,47.94,2388.21,395,18
643.26,1595.87,1425.87,2388.13,9077.8,48.12,2388.2,395,17
643.39,1596.26,1422.48,2388.21,9063.07,48.05,2388.17,396,16
643.71,1594.69,1424.74,2388.18,9075.7,47.99,2388.19,398,15
643.27,1600.86,1427.49,2388.22,9083.75,48.15,2388.23,396,14
643.77,1597.9,1427.45,2388.21,9072.88,48.0,2388.22,396,13
643.38,1595.7,1428.44,2388.2,9081.56,48.15,2388.21,395,12
643.39,1597.83,1425.96,2388.26,9071.33,47.96,2388.22,397,11
643.34,1592.29,1427.9,2388.21,9071.79,48.0,2388.2,397,10
643.85,1597.54,1419.22,2388.22,9074.5,48.02,2388.26,397,9
643.54,1596.24,1429.71,2388.21,9070.08,48.12,2388.2,397,8
644.02,1600.68,1423.72,2388.22,9069.0,48.22,2388.17,395,7
643.31,1598.07,1425.57,2388.2,9074.32,48.15,2388.21,395,6
643.97,1603.92,1428.41,2388.24,9075.63,48.11,2388.28,396,5
643.4,1599.87,1427.9,2388.28,9077.6,48.24,2388.22,394,4
643.84,1599.31,1423.73,2388.19,9070.64,48.05,2388.22,397,3
643.52,1601.37,1425.25,2388.28,9078.36,48.16,2388.26,398,2
643.66,1606.8,1431.35,2388.28,9084.89,48.11,2388.21,396,1
643.94,1599.54,1434.33,2388.25,9076.3,48.34,2388.23,398,0
642.38,1587.95,1393.65,2387.93,9050.35,47.12,2387.95,392,252
641.9,1578.97,1396.59,2388.0,9052.14,47.02,2388.04,391,251
641.85,1583.91,1391.46,2387.97,9051.37,47.28,2387.96,392,250
642.07,1579.51,1391.48,2387.93,9051.87,47.14,2387.95,389,249
642.16,1583.96,1395.68,2387.93,9047.34,46.84,2387.94,391,248
642.18,1583.45,1395.03,2388.0,9056.36,47.05,2387.95,392,247
642.75,1579.31,1393.29,2387.94,9041.23,47.09,2387.97,391,246
642.43,1589.99,1396.6,2387.99,9052.21,46.94,2387.94,390,245
642.16,1577.07,1395.62,2387.98,9049.11,47.34,2387.99,392,244
641.85,1587.17,1400.51,2387.92,9056.11,47.02,2387.99,393,243
641.97,1581.56,1384.74,2387.95,9046.22,47.09,2387.99,390,242
642.02,1586.0,1391.8,2387.98,9046.77,47.14,2387.95,391,241
642.04,1586.98,1396.97,2387.96,9054.85,46.91,2387.95,391,240
642.1,1582.02,1389.36,2388.0,9043.46,47.14,2387.97,391,239
641.65,1585.65,1397.7,2387.96,9044.96,47.05,2387.97,391,238
641.93,1577.45,1394.98,2387.95,9045.62,47.06,2387.95,392,237
642.03,1578.46,1397.59,2387.95,9049.59,47.04,2387.97,391,236
641.87,1591.05,1396.81,2388.02,9050.22,47.08,2387.98,391,235
641.52,1576.3,1396.89,2387.92,9045.3,46.91,2387.93,391,234
642.31,1575.09,1395.13,2387.93,9044.52,47.07,2387.98,390,233
642.09,1578.56,1394.7,2387.96,9044.37,47.21,2387.99,391,232
641.95,1573.48,1389.61,2388.01,9047.02,47.19,2387.99,391,231
642.17,1580.91,1395.04,2388.01,9053.24,46.88,2387.98,391,230
642.1,1578.49,1395.34,2388.01,9050.62,46.99,2387.93,390,229
642.12,1581.65,1399.58,2387.94,9050.52,46.88,2387.95,392,228
642.23,1584.15,1393.97,2387.98,9054.37,47.11,2387.94,392,227
641.54,1577.87,1391.71,2387.94,9041.13,46.93,2387.96,390,226
641.82,1584.36,1397.54,2387.95,9059.43,47.24,2387.94,392,225
642.4,1572.01,1394.2,2388.03,9052.54,47.1,2387.98,389,224
642.06,1578.59,1387.6,2387.93,9053.52,47.03,2387.89,392,223
642.02,1586.97,1400.91,2388.02,9053.33,47.04,2387.95,393,222
642.73,1587.26,1397.02,2387.97,9048.48,47.13,2388.02,393,221
642.19,1582.11,1393.73,2387.98,9047.02,47.17,2388.01,389,220
641.58,1576.89,1405.99,2387.92,9051.88,47.11,2388.01,390,219
642.13,1576.56,1395.42,2387.98,9051.72,47.0,2387.95,392,218
641.99,1579.98,1395.61,2387.94,9053.43,46.97,2387.97,392,217
642.04,1586.32,1394.57,2387.96,9052.97,47.06,2387.93,390,216
642.38,1589.5,1399.06,2388.01,9047.96,47.05,2387.98,391,215
641.71,1583.24,1403.38,2387.96,9047.23,47.15,2387.99,391,214
641.91,1584.18,1384.36,2387.92,9050.25,46.92,2388.02,390,213
641.53,1581.87,1392.19,2387.99,9048.4,47.08,2388.01,391,212
641.85,1579.7,1399.94,2387.96,9050.6,47.11,2388.04,392,211
641.94,1577.89,1390.31,2387.95,9043.72,47.23,2387.92,391,210
642.27,1581.8,1389.99,2387.92,9050.67,47.07,2387.93,391,209
642.29,1585.29,1397.66,2387.98,9054.79,46.98,2387.94,391,208
641.83,1586.09,1389.6,2387.97,9050.52,46.93,2387.97,391,207
641.77,1583.5,1399.68,2387.96,9052.09,47.19,2387.97,390,206
642.34,1582.19,1394.06,2388.0,9051.11,47.07,2388.01,388,205
642.38,1581.01,1390.29,2388.02,9051.52,46.95,2387.99,392,204
641.88,1576.1,1398.4,2387.96,9051.19,47.25,2387.92,392,203
641.81,1583.16,1392.22,2387.93,9057.75,47.08,2387.96,390,202
641.83,1586.72,1395.12,2387.93,9052.6,47.07,2387.95,391,201
641.8,1588.45,1396.64,2387.93,9046.39,47.2,2387.99,390,200
642.04,1584.28,1398.44,2387.98,9044.44,47.19,2388.01,391,199
642.76,1586.27,1402.33,2387.94,9049.82,46.96,2387.94,391,198
642.09,1574.55,1392.24,2387.96,9047.49,47.1,2387.92,392,197
641.68,1580.44,1387.25,2387.98,9053.1,47.2,2388.0,390,196
642.44,1581.78,1397.62,2387.98,9044.72,47.13,2387.97,391,195
641.75,1581.89,1392.91,2387.93,9052.13,47.24,2387.98,393,194
641.87,1585.02,1399.01,2387.94,9053.11,47.12,2387.95,391,193
641.77,1580.16,1395.76,2388.02,9051.24,47.23,2388.01,390,192
641.92,1583.4,1393.1,2387.95,9048.72,47.04,2388.0,389,191
641.83,1580.15,1396.84,2388.0,9053.96,47.02,2387.93,390,190
641.97,1573.94,1389.95,2387.98,9049.63,47.03,2387.96,389,189
642.09,1588.11,1395.11,2387.96,9056.79,47.13,2387.95,392,188
642.03,1586.02,1396.35,2387.98,9051.84,46.92,2388.02,391,187
642.6,1591.5,1400.3,2388.04,9047.16,47.24,2387.96,392,186
641.46,1581.05,1396.6,2387.97,9056.35,47.14,2387.97,392,185
641.76,1582.92,1399.44,2387.96,9046.53,47.3,2387.99,390,184
642.06,1578.49,1392.21,2387.98,9047.31,47.21,2387.91,393,183
641.56,1575.84,1390.26,2388.01,9052.16,46.98,2387.95,392,182
641.6,1576.35,1394.93,2387.94,9043.28,47.14,2387.95,391,181
641.64,1579.98,1388.73,2387.93,9056.11,47.13,2387.96,392,180
641.76,1584.03,1389.39,2387.98,9052.83,47.22,2387.9,393,179
641.93,1583.6,1395.75,2387.92,9053.89,46.9,2387.96,390,178
641.84,1584.63,1396.0,2387.91,9045.74,47.26,2388.01,391,177
641.34,1582.22,1398.02,2387.93,9047.59,47.1,2387.95,392,176
641.72,1586.79,1395.99,2387.99,9051.34,46.94,2387.98,391,175
642.13,1582.66,1391.53,2387.97,9050.81,47.25,2387.99,392,174
642.2,1588.42,1399.66,2387.93,9054.37,47.02,2387.99,391,173
642.37,1582.15,1397.4,2387.96,9047.91,47.28,2387.99,390,172
641.63,1582.74,1392.71,2387.95,9047.85,47.12,2387.96,393,171
641.49,1582.4,1388.64,2387.99,9049.96,47.01,2387.98,391,170
641.92,1589.33,1393.67,2387.93,9049.96,46.97,2387.95,391,169
642.71,1585.76,1395.11,2387.96,9047.6,47.0,2387.96,393,168
642.02,1581.56,1404.51,2387.98,9048.75,47.17,2387.98,391,167
642.19,1589.37,1391.98,2387.99,9049.17,47.25,2388.02,392,166
641.92,1585.34,1400.88,2388.03,9047.26,47.1,2387.99,391,165
642.55,1581.11,1396.01,2388.02,9059.73,46.97,2387.94,393,164
641.86,1584.68,1397.56,2387.98,9050.24,47.08,2387.98,392,163
642.12,1579.53,1396.85,2388.0,9048.77,47.13,2387.95,391,162
641.84,1580.18,1389.02,2388.0,9053.85,47.2,2387.98,391,161
641.93,1583.84,1390.85,2387.95,9047.61,47.14,2387.93,391,160
641.86,1589.94,1390.68,2387.95,9058.4,47.02,2387.95,392,159
641.66,1577.37,1390.28,2387.98,9046.58,47.13,2387.96,391,158
642.04,1576.41,1394.97,2387.98,9048.18,47.2,2387.97,393,157
641.76,1587.26,1398.07,2387.94,9050.34,47.11,2388.02,391,156
642.12,1576.65,1397.98,2387.99,9048.78,47.02,2388.01,393,155
642.06,1585.4,1397.87,2388.04,9049.03,47.25,2388.02,391,154
641.92,1584.46,1400.42,2387.95,9055.13,47.17,2387.98,391,153
641.91,1576.06,1394.77,2387.99,9055.67,47.12,2387.94,391,152
642.26,1580.79,1398.01,2387.99,9051.41,47.15,2387.96,391,151
641.94,1583.67,1398.16,2387.96,9056.4,47.03,2387.9,390,150
642.07,1584.78,1390.81,2387.96,9056.3,47.07,2387.98,390,149
642.41,1584.01,1394.76,2387.93,9054.4,47.15,2388.02,392,148
642.36,1575.28,1398.22,2387.96,9046.92,47.22,2388.0,392,147
641.99,1587.39,1395.82,2388.02,9051.57,47.12,2387.97,390,146
641.92,1574.79,1395.01,2387.99,9056.31,47.15,2388.02,392,145
641.97,1579.4,1395.31,2388.02,9052.41,47.25,2387.98,389,144
642.03,1580.92,1399.47,2387.98,9053.85,47.04,2387.95,390,143
641.86,1584.71,1400.65,2388.04,9053.9,47.02,2387.97,390,142
641.53,1582.96,1400.5,2388.01,9054.54,47.05,2387.97,391,141
642.34,1582.54,1399.91,2387.96,9046.87,47.17,2388.01,391,140
642.11,1581.07,1389.94,2388.01,9043.36,47.18,2387.96,391,139
642.44,1578.63,1397.24,2387.99,9046.93,47.05,2387.96,392,138
